tag,source,alpha,cond_density,ref_source,f1,md5,gen_edge_density
e1_synth_low_a1.0,synth_low,1.0,0.020050048828125,synth_veryd,0.2046638455571364,5a37c073005647c54b60e25d56202931,0.0241851806640625
e1_synth_mid_a0.15,synth_mid,0.15,0.0,astronaut,0.37432217455682953,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,camera,0.32748794824570454,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,coffee,0.22107755884526137,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,chelsea,0.27145727537576375,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,coins,0.2972313380943193,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,horse,0.0899126850256747,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,page,0.3245978914837299,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,rocket,0.23341919949618825,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,immunohistochemistry,0.4001991370362839,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,cell,0.013173193732082429,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_sparse,0.07244161589209513,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_low,0.11365513383676357,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_mid,0.21977307591151363,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_dense,0.29777693665990224,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a0.15,synth_mid,0.15,0.0,synth_veryd,0.38204366798087835,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,astronaut,0.3194976492569323,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,camera,0.2624947012830238,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,coffee,0.19932776160037807,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,chelsea,0.27731102821646536,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,coins,0.3229672156898168,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,horse,0.09044237105526604,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,page,0.20489988419784683,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,rocket,0.17053791409176652,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,immunohistochemistry,0.3723638045173579,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,cell,0.01945643344392574,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,synth_sparse,0.1674453813481178,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,synth_low,0.21725709364945806,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,synth_mid,0.8862382804367887,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,synth_dense,0.3720566218378941,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_mid_a1.0,synth_mid,1.0,0.0467529296875,synth_veryd,0.31894736955073694,2704dba882b81d20b9d6a4c6b2e3f339,0.053592681884765625
e1_synth_dense_a0.15,synth_dense,0.15,0.0,astronaut,0.37432217455682953,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,camera,0.32748794824570454,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,coffee,0.22107755884526137,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,chelsea,0.27145727537576375,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,coins,0.2972313380943193,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,horse,0.0899126850256747,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,page,0.3245978914837299,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,rocket,0.23341919949618825,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,immunohistochemistry,0.4001991370362839,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,cell,0.013173193732082429,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,synth_sparse,0.07244161589209513,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,synth_low,0.11365513383676357,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,synth_mid,0.21977307591151363,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,synth_dense,0.29777693665990224,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a0.15,synth_dense,0.15,0.0,synth_veryd,0.38204366798087835,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,astronaut,0.48432938007455256,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,camera,0.35384176797688077,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,coffee,0.31704315903416347,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,chelsea,0.3598345937874959,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,coins,0.38521136357439195,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,horse,0.11755264396380966,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,page,0.38769536602131177,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,rocket,0.24191090429139508,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,immunohistochemistry,0.6248547443054655,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,cell,0.025707427717038853,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,synth_sparse,0.05865132412528758,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,synth_low,0.15056715645775734,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,synth_mid,0.3704735533153749,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,synth_dense,0.8627314286057562,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_dense_a1.0,synth_dense,1.0,0.08837890625,synth_veryd,0.6137704711576416,d2568e07d5afc05bb7b0a3e7475346bd,0.12444686889648438
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,astronaut,0.37432217455682953,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,camera,0.32748794824570454,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,coffee,0.22107755884526137,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,chelsea,0.27145727537576375,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,coins,0.2972313380943193,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,horse,0.0899126850256747,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,page,0.3245978914837299,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,rocket,0.23341919949618825,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,immunohistochemistry,0.4001991370362839,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,cell,0.013173193732082429,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,synth_sparse,0.07244161589209513,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,synth_low,0.11365513383676357,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,synth_mid,0.21977307591151363,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,synth_dense,0.29777693665990224,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a0.15,synth_veryd,0.15,0.0,synth_veryd,0.38204366798087835,131a3d565f2f10c67413a81012477e22,0.0820770263671875
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,astronaut,0.5110124097006451,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,camera,0.4185628887186593,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,coffee,0.3712970940084259,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,chelsea,0.3455787163317582,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,coins,0.43876880161920956,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,horse,0.13305327887516963,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,page,0.4335618919798232,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,rocket,0.27846891080491887,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,immunohistochemistry,0.6963229336331987,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,cell,0.022417885939324197,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,synth_sparse,0.0645655559139397,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,synth_low,0.1710159437921661,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,synth_mid,0.28138674095746646,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,synth_dense,0.5096098300450558,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_synth_veryd_a1.0,synth_veryd,1.0,0.131591796875,synth_veryd,0.9573572325077055,5923893b41b8e878190e18ecb14d1440,0.16665267944335938
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,astronaut,0.8005724483366793,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,camera,0.36475461865123715,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,coffee,0.3079898578766269,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,chelsea,0.2353124080144372,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
e1_astronaut_a1.0,astronaut,1.0,0.0900001525878906,coins,0.2882580658937683,50ad4be9209fc59e8684d0391472eaf4,0.06668853759765625
