source,alpha,seed,dens_before,dens_after,scale_after,f1_before,f1_after,f1c_before,f1c_after,clip_before,clip_after
astronaut,1.0,0,0.0900001525878906,0.0630149841308593,0.7598002115885416,0.8005724483366793,0.7095223614014743,0.8005724483366793,0.6921680600517532,0.3029525876045227,0.29762929677963257
astronaut,1.0,1,0.0900001525878906,0.0630149841308593,0.7598002115885416,0.8448007923447064,0.7178016605498843,0.8448007923447064,0.7318085758833004,0.28452998399734497,0.284898966550827
astronaut,1.0,2,0.0900001525878906,0.0630149841308593,0.7598002115885416,0.8657410203585619,0.7563313720243504,0.8657410203585619,0.7695579040471179,0.28607556223869324,0.2937624454498291
camera,0.3,0,0.0138702392578125,0.0452461242675781,0.9967183430989583,0.5407802889707172,0.6901339275491676,0.43837061117808107,0.6673604970084261,0.2867364287376404,0.28683120012283325
camera,0.3,1,0.0138702392578125,0.0452461242675781,0.9967183430989583,0.5448554572127497,0.7068873349798677,0.43860827358286214,0.7425177705301479,0.304231733083725,0.30799052119255066
camera,0.3,2,0.0138702392578125,0.0452461242675781,0.9967183430989583,0.6954801049892215,0.7262944503308365,0.47168456947746346,0.8399758662065004,0.30174022912979126,0.29568538069725037
camera,1.0,0,0.0750961303710937,0.0858116149902343,0.4558451334635416,0.757708008737944,0.4075494949241017,0.757708008737944,0.45638736417927334,0.2970985174179077,0.30022159218788147
camera,1.0,1,0.0750961303710937,0.0858116149902343,0.4558451334635416,0.773744110491426,0.377329782240212,0.773744110491426,0.41623638198741797,0.3020285367965698,0.3007473349571228
camera,1.0,2,0.0750961303710937,0.0858116149902343,0.4558451334635416,0.8121889492804355,0.7551024201714671,0.8121889492804355,0.6793609057134102,0.29265475273132324,0.2974258065223694
coffee,0.3,0,0.014678955078125,0.0446968078613281,1.0040425618489583,0.5529410883954204,0.6358183889822799,0.39538110655672337,0.5689280877963758,0.28431954979896545,0.28661835193634033
coffee,0.3,1,0.014678955078125,0.0446968078613281,1.0040425618489583,0.2474904393076309,0.722577667323274,0.43305989642621573,0.7221392979696611,0.2868897318840027,0.2959916591644287
coffee,0.3,2,0.014678955078125,0.0446968078613281,1.0040425618489583,0.3931829957371486,0.6798393977602865,0.5095949253733509,0.6779176658084132,0.27563369274139404,0.2996573746204376
coffee,1.0,0,0.0585861206054687,0.0452423095703125,0.9967692057291666,0.6568056343088631,0.5868610868475921,0.6568056343088631,0.5337080393273973,0.2940555214881897,0.2952095866203308
coffee,1.0,1,0.0585861206054687,0.0452423095703125,0.9967692057291666,0.7358350026439451,0.6991157676607415,0.7358350026439451,0.6707213358283776,0.30137717723846436,0.301736056804657
coffee,1.0,2,0.0585861206054687,0.0452423095703125,0.9967692057291666,0.8079977990669309,0.679571958409204,0.8079977990669309,0.6818426929781396,0.30386853218078613,0.3101117014884949
chelsea,0.3,0,0.0,0.0454292297363281,0.9942769368489583,0.0,0.6697820816506022,0.2871545642839197,0.6401865941166405,0.2709766924381256,0.27111539244651794
chelsea,0.3,1,0.0,0.0454292297363281,0.9942769368489583,0.0,0.6437221151107971,0.39787625572810154,0.5867003520760711,0.2806680202484131,0.27935028076171875
chelsea,0.3,2,0.0,0.0454292297363281,0.9942769368489583,0.0,0.6898618563227488,0.299819092700506,0.6366790463379216,0.28323283791542053,0.28450095653533936
chelsea,1.0,0,0.0443344116210937,0.0448684692382812,1.0017537434895831,0.6284123140900978,0.5954049986899806,0.6284123140900978,0.5435938446153912,0.2774517238140106,0.2726472020149231
chelsea,1.0,1,0.0443344116210937,0.0448684692382812,1.0017537434895831,0.5614483241861675,0.6205268235316146,0.5614483241861675,0.5609962537436199,0.28168582916259766,0.27817317843437195
chelsea,1.0,2,0.0443344116210937,0.0448684692382812,1.0017537434895831,0.6640320682324733,0.6356807239851406,0.6640320682324733,0.5814199203252768,0.2895359992980957,0.2861728072166443
coins,0.3,0,0.010528564453125,0.0445747375488281,1.005670166015625,0.2591850256080847,0.7023251371104889,0.6880123102760362,0.8280209742595991,0.2943016588687897,0.29629600048065186
coins,0.3,1,0.010528564453125,0.0445747375488281,1.005670166015625,0.2628718213502629,0.6797201437278098,0.6431859166368818,0.8031673592814191,0.3020884096622467,0.30425673723220825
coins,0.3,2,0.010528564453125,0.0445747375488281,1.005670166015625,0.2654388328785678,0.7203663574245484,0.46347494234857856,0.825992766257634,0.3040691614151001,0.30032387375831604
coins,1.0,0,0.0742835998535156,0.0560493469238281,0.8526753743489583,0.8699296862579348,0.7522202841453265,0.8699296862579348,0.8235817663417169,0.289841890335083,0.2938404381275177
coins,1.0,1,0.0742835998535156,0.0560493469238281,0.8526753743489583,0.8239592913254642,0.7461514789755848,0.8239592913254642,0.8148989945808954,0.2940406799316406,0.2909866273403168
coins,1.0,2,0.0742835998535156,0.0560493469238281,0.8526753743489583,0.8777800801914517,0.764007528517048,0.8777800801914517,0.8429007297765929,0.30192142724990845,0.3155663311481476
horse,0.3,0,0.0129661560058593,0.0129547119140625,1.4,0.9804639266441976,1.0,0.9804746492808046,1.0,0.30286580324172974,0.2954796254634857
horse,0.3,1,0.0129661560058593,0.0129547119140625,1.4,1.0,1.0,1.0,1.0,0.29928117990493774,0.3059723675251007
horse,0.3,2,0.0129661560058593,0.0129547119140625,1.4,0.9737778201326264,0.9934712468908112,0.9737904086853633,0.993331803343768,0.3208095133304596,0.31478068232536316
horse,1.0,0,0.0129737854003906,0.012969970703125,1.4,0.9749597751364836,1.0,0.9749597751364836,1.0,0.30471888184547424,0.29646316170692444
horse,1.0,1,0.0129737854003906,0.012969970703125,1.4,1.0,1.0,1.0,1.0,0.29933100938796997,0.3060409426689148
horse,1.0,2,0.0129737854003906,0.012969970703125,1.4,0.9744055183324132,0.9930314183060944,0.9744055183324133,0.9930334338817915,0.32067468762397766,0.3141990005970001
page,0.3,0,0.0317726135253906,0.0448875427246093,1.0014994303385416,0.7929565141557177,0.7489677350258597,0.6082690382791561,0.631315658562301,0.2734309732913971,0.25773683190345764
page,0.3,1,0.0317726135253906,0.0448875427246093,1.0014994303385416,0.6756215243709864,0.6921165345497261,0.6585355220496867,0.7178089871568485,0.2766190469264984,0.2892622649669647
page,0.3,2,0.0317726135253906,0.0448875427246093,1.0014994303385416,0.639324099328351,0.6792867477454173,0.6195420876227447,0.7250296729301022,0.28837430477142334,0.283255398273468
page,1.0,0,0.0868721008300781,0.0883445739746093,0.4220723470052083,0.7269574585963356,0.620440085127376,0.7269574585963356,0.6108765180213139,0.2724856734275818,0.27118560671806335
page,1.0,1,0.0868721008300781,0.0883445739746093,0.4220723470052083,0.9066315357022876,0.6700148907665565,0.9066315357022876,0.6609712061201181,0.27171197533607483,0.3021158277988434
page,1.0,2,0.0868721008300781,0.0883445739746093,0.4220723470052083,0.8825392619001886,0.6600937387568814,0.8825392619001886,0.6492455919764153,0.2643819749355316,0.2637590765953064
rocket,0.3,0,0.0044174194335937,0.0448417663574218,1.0021097819010416,0.5741350320884742,0.9026674256796136,0.40361125671791387,0.867862673712737,0.3079899251461029,0.2911641597747803
rocket,0.3,1,0.0044174194335937,0.0448417663574218,1.0021097819010416,0.4788951387936159,0.9005047006476693,0.3699251390192435,0.8666079167929495,0.30689847469329834,0.28917837142944336
rocket,0.3,2,0.0044174194335937,0.0448417663574218,1.0021097819010416,0.4926217766264111,0.8878978740770159,0.33415591618098417,0.8839156781355793,0.29049792885780334,0.30453476309776306
rocket,1.0,0,0.042999267578125,0.0452728271484375,0.9963623046875,0.8391704755004836,0.9022814126805968,0.8391704755004836,0.8853053632948011,0.3009797930717468,0.29634952545166016
rocket,1.0,1,0.042999267578125,0.0452728271484375,0.9963623046875,0.8704084972210658,0.8917664408857641,0.8704084972210658,0.8578021433008425,0.28769785165786743,0.2933884561061859
rocket,1.0,2,0.042999267578125,0.0452728271484375,0.9963623046875,0.9182210307581792,0.8821740251657197,0.9182210307581791,0.8750477841730375,0.3052283227443695,0.29563435912132263
immunohistochemistry,0.3,0,4.57763671875e-05,0.0447311401367187,1.0035847981770831,0.0012317896482293,0.5816113213740022,0.6717660008651697,0.7124095402445594,0.3017014265060425,0.3250161409378052
immunohistochemistry,0.3,1,4.57763671875e-05,0.0447311401367187,1.0035847981770831,0.0004478092332666,0.4962932906655209,0.8166947002496013,0.8217341614777532,0.3015005886554718,0.35847777128219604
immunohistochemistry,0.3,2,4.57763671875e-05,0.0447311401367187,1.0035847981770831,0.0008846426043878,0.4254942478268254,0.7684041936946734,0.8651920997564351,0.2918473184108734,0.3203566074371338
immunohistochemistry,1.0,0,0.1884346008300781,0.1625709533691406,0.4,0.8496024343668377,0.6770194972381465,0.8496024343668377,0.6893822748520093,0.3236501216888428,0.2928571105003357
immunohistochemistry,1.0,1,0.1884346008300781,0.1625709533691406,0.4,0.8436839038313619,0.7929705400044096,0.8436839038313619,0.8248080144684687,0.3194667100906372,0.335086852312088
immunohistochemistry,1.0,2,0.1884346008300781,0.1625709533691406,0.4,0.8909833316270955,0.772026339773838,0.8909833316270955,0.8145933482937928,0.30494049191474915,0.29092320799827576
cell,0.3,0,0.0,0.0238304138183593,1.2822611490885416,0.0,0.7124401924415035,0.014424161249608942,0.19316703216203077,0.28788626194000244,0.2788000702857971
cell,0.3,1,0.0,0.0238304138183593,1.2822611490885416,0.0,0.69062772252367,0.01752746511068725,0.0765335371679725,0.2812892198562622,0.28249841928482056
cell,0.3,2,0.0,0.0238304138183593,1.2822611490885416,0.0,0.7781128881105681,0.026095064078772788,0.14961101137043686,0.26987841725349426,0.28960347175598145
cell,1.0,0,0.00164794921875,0.04559326171875,0.99208984375,0.0192414659772151,0.2105153960878099,0.01924146597721514,0.3710333259766056,0.29669517278671265,0.2991847097873688
cell,1.0,1,0.00164794921875,0.04559326171875,0.99208984375,0.0146843367075119,0.5534502850628567,0.014684336707511986,0.08081768659653804,0.3150799870491028,0.32642537355422974
cell,1.0,2,0.00164794921875,0.04559326171875,0.99208984375,0.0134778718905039,0.2322593202761124,0.013477871890503909,0.10461031019725589,0.29543522000312805,0.24901558458805084
