mid_rms,down_rms_mean,total_rms,source,alpha,cond_std,cond_range
3.233215808868408,0.6813994074861208,1.1516832777296686,page,0.1,4.722401523291031,25
3.515671491622925,0.7625741561253866,1.2653746792834821,page,0.2,9.43861754833038,51
3.733414649963379,0.8294054133196672,1.3567508330379632,page,0.4,18.86971509605338,102
3.7816660404205322,0.8581709104279677,1.3868933057688895,page,0.7,33.022331713023554,178
3.7894093990325928,0.8639975842088461,1.3925702168907181,page,1.0,47.17001073817201,255
1.3906993865966797,0.2433816914757093,0.469124313351575,rocket,0.0,0.0,0
4.2813720703125,0.5703931680570046,1.3461022710276023,rocket,0.05,1.5561842056271824,12
3.8576207160949707,0.595375370234251,1.251375507778968,rocket,0.1,3.0871807291747415,24
3.275800943374634,0.5783385019749403,1.0994277886888506,rocket,0.2,6.154027922202673,49
3.2813432216644287,0.6188658249254028,1.124008816431563,rocket,0.4,12.298962357843884,98
3.6056623458862305,0.7118616330747803,1.2572580445593082,rocket,0.7,21.521810087793337,170
3.9078214168548584,0.7593206642195582,1.3536833361846123,rocket,1.0,30.737468459030687,244
1.4869428873062134,0.23500441014766693,0.4849948868811299,immunohistochemistry,0.0,0.0,0
4.617818832397461,0.9107060271004835,1.6140186941122443,immunohistochemistry,0.05,2.3861105102803277,11
4.921412944793701,0.9790578978136182,1.7222694660902766,immunohistochemistry,0.1,4.745660079169269,22
5.033578872680664,1.0045819574346144,1.761506373207916,immunohistochemistry,0.2,9.459091200636767,44
4.856791019439697,1.0027543753385544,1.720801355773221,immunohistochemistry,0.4,18.914828070183074,88
4.701437950134277,0.9853146045158306,1.6747776296953267,immunohistochemistry,0.7,33.10621757640625,154
4.614526271820068,0.9708548548320929,1.645741563921375,immunohistochemistry,1.0,47.299817153129595,221
1.487810730934143,0.23714523948729038,0.48693587733138616,cell,0.0,0.0,0
2.036630868911743,0.43510088231414557,0.7303080620260574,cell,0.05,1.3462234644761788,13
2.36543345451355,0.5180860444282492,0.85886601718743,cell,0.1,2.613097691138852,25
3.432668924331665,0.768268837283055,1.2581399719429112,cell,0.2,5.211720925392839,51
3.440516233444214,0.8088305645311872,1.2838233941690365,cell,0.4,10.410841936947563,102
3.625210762023926,0.838513970375061,1.3418298871624144,cell,0.7,18.208725666825526,178
3.8388466835021973,0.859175021139284,1.4003336650587843,cell,1.0,26.01424476137512,254
