source,alpha,seed,dens_before,dens_after,scale_after,f1_before,f1_after,rec_before,rec_after,chamfer_before,chamfer_after
synth_mid,1.0,0,0.0467529296875,0.0467529296875,0.9766276041666666,0.8862382804367887,0.8821735001090498,0.9886586161879896,0.987597911227154,1.8089704513549805,1.8710246086120605
synth_mid,1.0,1,0.0467529296875,0.0467529296875,0.9766276041666666,0.9260123015444449,0.9214291636347877,0.9785411227154047,0.9786227154046997,1.4414689540863037,1.5459141731262207
synth_mid,1.0,2,0.0467529296875,0.0467529296875,0.9766276041666666,0.9151608246898572,0.9118964507943972,0.9944516971279374,0.9954308093994778,1.7419588565826416,1.901858925819397
synth_dense,0.3,0,0.08837890625,0.06103515625,0.7861979166666666,0.8627314286057562,0.7578396845186085,0.997496546961326,0.9993125,1.3641016483306885,2.0818026065826416
synth_dense,0.3,1,0.08837890625,0.06103515625,0.7861979166666666,0.9520713604513797,0.6402089805410306,0.9772531077348067,0.996625,0.8565037250518799,3.588886022567749
synth_dense,0.3,2,0.08837890625,0.06103515625,0.7861979166666666,0.9455277262742641,0.583026076730662,0.98541091160221,0.9901875,0.9379607439041138,4.682069301605225
synth_dense,1.0,0,0.08837890625,0.08837890625,0.42161458333333324,0.8627314286057562,0.3293507638691885,0.997496546961326,0.324067679558011,1.3641016483306885,12.310053825378418
synth_dense,1.0,1,0.08837890625,0.08837890625,0.42161458333333324,0.9520713604513797,0.7047209572961917,0.9772531077348067,0.969052140883978,0.8565037250518799,3.533097743988037
synth_dense,1.0,2,0.08837890625,0.08837890625,0.42161458333333324,0.9455277262742641,0.7132325891262123,0.98541091160221,0.8711153314917127,0.9379607439041138,3.155308961868286
synth_veryd,0.3,0,0.131591796875,0.0,1.4,0.9573572325077055,0.0,0.9959995361781077,0.0,0.8266855478286743,nan
synth_veryd,0.3,1,0.131591796875,0.0,1.4,0.9357673421466635,0.0,0.9907525510204082,0.0,1.042966365814209,nan
synth_veryd,0.3,2,0.131591796875,0.0,1.4,0.8237414502005017,0.0,0.9969851576994434,0.0,1.395601511001587,nan
synth_veryd,1.0,0,0.131591796875,0.131591796875,0.4,0.9573572325077055,0.27809187698853294,0.9959995361781077,0.18703617810760667,0.8266855478286743,12.204557418823242
synth_veryd,1.0,1,0.131591796875,0.131591796875,0.4,0.9357673421466635,0.6181788788755862,0.9907525510204082,0.6721358998144712,1.042966365814209,4.569577693939209
synth_veryd,1.0,2,0.131591796875,0.131591796875,0.4,0.8237414502005017,0.5076784432109952,0.9969851576994434,0.43106447124304265,1.395601511001587,8.092926025390625
astronaut,0.3,0,0.02912139892578125,0.044952392578125,1.000634765625,0.5676563724069088,0.7273370022246698,0.9777312025150642,0.8957060420909708,7.490431785583496,3.4339852333068848
astronaut,0.3,1,0.02912139892578125,0.044952392578125,1.000634765625,0.48445689805730485,0.784000157105077,0.978386167146974,0.9327902240325866,9.618197441101074,2.8762006759643555
astronaut,0.3,2,0.02912139892578125,0.044952392578125,1.000634765625,0.5732460387910918,0.7690374453651395,0.9135446685878963,0.915224032586558,7.334084510803223,2.8115057945251465
astronaut,1.0,0,0.09000015258789062,0.06301498413085938,0.7598002115885416,0.8005724483366793,0.7095223614014743,0.7140253465010808,0.7335795144984564,2.257591962814331,3.4045610427856445
astronaut,1.0,1,0.09000015258789062,0.06301498413085938,0.7598002115885416,0.8448007923447064,0.7178016605498843,0.8103674818802187,0.8494460923784732,1.962587594985962,3.1007633209228516
astronaut,1.0,2,0.09000015258789062,0.06301498413085938,0.7598002115885416,0.8657410203585619,0.7563313720243504,0.8418598736913492,0.8607058538652461,1.6017327308654785,2.585820198059082
camera,0.3,0,0.0138702392578125,0.045246124267578125,0.9967183430989583,0.5407802889707172,0.6901339275491676,0.9724972497249725,0.8289351656689993,8.079708099365234,5.580706596374512
camera,0.3,1,0.0138702392578125,0.045246124267578125,0.9967183430989583,0.5448554572127497,0.7068873349798677,0.9900990099009901,0.9467161284883231,9.036311149597168,6.74215841293335
camera,0.3,2,0.0138702392578125,0.045246124267578125,0.9967183430989583,0.6954801049892215,0.7262944503308365,0.9733223322332233,0.9429221819408145,4.339815616607666,2.7571041584014893
camera,1.0,0,0.07509613037109375,0.08581161499023438,0.4558451334635416,0.757708008737944,0.40754949492410175,0.890429747028345,0.3963991998221827,6.000296115875244,15.70642375946045
camera,1.0,1,0.07509613037109375,0.08581161499023438,0.4558451334635416,0.773744110491426,0.377329782240212,0.7656202377323986,0.33354078684152033,4.699383735656738,16.139436721801758
camera,1.0,2,0.07509613037109375,0.08581161499023438,0.4558451334635416,0.8121889492804355,0.7551024201714671,0.9508787971147008,0.8567237163814181,2.3462295532226562,3.874598741531372
coffee,0.3,0,0.014678955078125,0.044696807861328125,1.0040425618489583,0.5529410883954204,0.6358183889822799,0.7952182952182952,0.5469830161304088,9.107728958129883,6.876885414123535
coffee,0.3,1,0.014678955078125,0.044696807861328125,1.0040425618489583,0.24749043930763096,0.722577667323274,0.9287941787941788,0.9329179824187078,17.426969528198242,5.4323811531066895
coffee,0.3,2,0.014678955078125,0.044696807861328125,1.0040425618489583,0.39318299573714866,0.6798393977602865,0.9776507276507277,0.924895451054024,10.600068092346191,4.916563987731934
coffee,1.0,0,0.05858612060546875,0.0452423095703125,0.9967692057291666,0.6568056343088631,0.5868610868475921,0.5255241567912489,0.4678752107925801,5.48878812789917,7.498595237731934
coffee,1.0,1,0.05858612060546875,0.0452423095703125,0.9967692057291666,0.7358350026439451,0.6991157676607415,0.764813126709207,0.9002529510961215,4.421828269958496,5.674500465393066
coffee,1.0,2,0.05858612060546875,0.0452423095703125,0.9967692057291666,0.8079977990669309,0.679571958409204,0.8450970178408647,0.9339797639123103,2.514331102371216,4.158935070037842
chelsea,0.3,0,0.0,0.045429229736328125,0.9942769368489583,0.0,0.6697820816506022,0.0,0.7189520530691074,nan,5.346611976623535
chelsea,0.3,1,0.0,0.045429229736328125,0.9942769368489583,0.0,0.6437221151107971,0.0,0.9617936014778738,nan,4.695207595825195
chelsea,0.3,2,0.0,0.045429229736328125,0.9942769368489583,0.0,0.6898618563227488,0.0,0.7799143504912252,nan,4.953286170959473
chelsea,1.0,0,0.04433441162109375,0.04486846923828125,1.0017537434895833,0.6284123140900978,0.5954049986899806,0.8080364825331269,0.7707872810746472,5.120604515075684,7.787327766418457
chelsea,1.0,1,0.04433441162109375,0.04486846923828125,1.0017537434895833,0.5614483241861675,0.6205268235316146,0.9717776630528309,0.9882673014793403,6.271126747131348,4.783299446105957
chelsea,1.0,2,0.04433441162109375,0.04486846923828125,1.0017537434895833,0.6640320682324733,0.6356807239851406,0.8597487523662021,0.8314912429858867,4.19036340713501,5.345096588134766
coins,0.3,0,0.010528564453125,0.044574737548828125,1.005670166015625,0.2591850256080847,0.7023251371104889,0.9916666666666667,0.9800599058622165,17.09491539001465,2.734734535217285
coins,0.3,1,0.010528564453125,0.044574737548828125,1.005670166015625,0.2628718213502629,0.6797201437278098,0.993840579710145,0.9883611467693624,16.901473999023438,2.7770421504974365
coins,0.3,2,0.010528564453125,0.044574737548828125,1.005670166015625,0.2654388328785678,0.7203663574245484,0.9981884057971014,0.9879332477535302,8.750545501708984,2.328909397125244
coins,1.0,0,0.07428359985351562,0.056049346923828125,0.8526753743489583,0.8699296862579348,0.7522202841453265,0.9802803882298567,0.9772680868440754,1.4392591714859009,2.2173445224761963
