tag,seed,scale,lo,hi,cond_density,gen_density,precision,recall,f1,chamfer,sec,source,alpha,clip
e1_coffee_a0.3,0,1.0,100,200,0.014678955078125,0.02693939208984375,0.42381761540640045,0.7952182952182952,0.5529410883954204,9.107728958129883,103.6,coffee,0.3,0.2843
e1_coffee_a0.5,0,1.0,100,200,0.028949737548828125,0.030055999755859375,0.6013453483944663,0.6473843721175385,0.6235161611057554,8.338516235351562,103.3,coffee,0.5,0.2891
e1_coffee_a1.0,0,1.0,100,200,0.05858612060546875,0.03119659423828125,0.8755196869650281,0.5255241567912489,0.6568056343088631,5.48878812789917,106.4,coffee,1.0,0.2941
e1_chelsea_a0.15,0,1.0,100,200,0.0,0.08625030517578125,0.0,0.0,0.0,nan,103.8,chelsea,0.15,0.271
e1_chelsea_a0.3,0,1.0,100,200,0.0,0.08625030517578125,0.0,0.0,0.0,nan,103.3,chelsea,0.3,0.271
e1_chelsea_a0.5,0,1.0,100,200,0.001697540283203125,0.06993484497070312,0.02787323405880107,0.8157303370786517,0.05390456700793953,34.03870391845703,104.5,chelsea,0.5,0.2761
e1_chelsea_a1.0,0,1.0,100,200,0.04433441162109375,0.08224105834960938,0.514124031726889,0.8080364825331269,0.6284123140900978,5.120604515075684,103.4,chelsea,1.0,0.2775
e1_coins_a0.15,0,1.0,100,200,0.0,0.19516754150390625,0.0,0.0,0.0,nan,105.6,coins,0.15,0.2994
e1_coins_a0.3,0,1.0,100,200,0.010528564453125,0.1103668212890625,0.1490736900317987,0.9916666666666667,0.2591850256080847,17.09491539001465,106.5,coins,0.3,0.2943
e1_coins_a0.5,0,1.0,100,200,0.02805328369140625,0.10515594482421875,0.3797431618660669,0.985994016861572,0.5483111851620855,4.223087310791016,104.6,coins,0.5,0.3059
e1_coins_a1.0,0,1.0,100,200,0.07428359985351562,0.11294174194335938,0.781909683520789,0.9802803882298567,0.8699296862579348,1.4392591714859009,103.2,coins,1.0,0.2898
e1_horse_a0.15,0,1.0,100,200,0.01294708251953125,0.011627197265625,0.9970472440944882,0.9563936358279317,0.9762974131160985,0.6219578981399536,135.8,horse,0.15,0.304
e1_horse_a0.3,0,1.0,100,200,0.012966156005859375,0.011760711669921875,0.9967564060979566,0.9646954986760812,0.9804639266441975,0.5571753978729248,106.3,horse,0.3,0.3029
e1_horse_a0.5,0,1.0,100,200,0.012969970703125,0.01178741455078125,0.9967637540453075,0.965,0.9806247267748295,0.5546900629997253,107.7,horse,0.5,0.3031
e1_horse_a1.0,0,1.0,100,200,0.012973785400390625,0.011623382568359375,0.9967180833606827,0.9541311379006174,0.9749597751364836,0.6422871351242065,116.4,horse,1.0,0.3047
e1_page_a0.15,0,1.0,100,200,0.0,0.24131011962890625,0.0,0.0,0.0,nan,116.2,page,0.15,0.3342
e1_page_a0.3,0,1.0,100,200,0.031772613525390625,0.039661407470703125,0.723574107915745,0.8770560691559611,0.7929565141557177,6.618099212646484,109.3,page,0.3,0.2734
e1_page_a0.5,0,1.0,100,200,0.07192611694335938,0.1040496826171875,0.7582123478515912,0.9815963935295677,0.8555635898114563,3.8012638092041016,104.8,page,0.5,0.2443
e1_page_a1.0,0,1.0,100,200,0.08687210083007812,0.1758880615234375,0.5734145918278823,0.9927984894392482,0.7269574585963356,7.011514663696289,105.7,page,1.0,0.2725
e1_rocket_a0.15,0,1.0,100,200,0.0,0.007404327392578125,0.0,0.0,0.0,nan,105.8,rocket,0.15,0.3007
e1_rocket_a0.3,0,1.0,100,200,0.00441741943359375,0.0150146484375,0.40523373983739835,0.9844559585492227,0.5741350320884742,6.288501739501953,105.6,rocket,0.3,0.308
e1_rocket_a0.5,0,1.0,100,200,0.021892547607421875,0.03856658935546875,0.5608308605341247,0.9428471859208921,0.7033125207604212,9.941980361938477,120.7,rocket,0.5,0.2906
e1_rocket_a1.0,0,1.0,100,200,0.042999267578125,0.033260345458984375,0.8843904117444661,0.7983498935415189,0.8391704755004836,2.4681966304779053,119.3,rocket,1.0,0.301
e1_immunohistochemistry_a0.15,0,1.0,100,200,0.0,0.15552902221679688,0.0,0.0,0.0,nan,120.3,immunohistochemistry,0.15,0.2969
e1_immunohistochemistry_a0.3,0,1.0,100,200,4.57763671875e-05,0.16093826293945312,0.0006162743843181872,1.0,0.0012317896482293023,111.41236114501953,119.4,immunohistochemistry,0.3,0.3017
e1_immunohistochemistry_a0.5,0,1.0,100,200,0.028125762939453125,0.07448196411132812,0.3323943661971831,0.7088023870880239,0.45255984418275946,6.684210300445557,101.3,immunohistochemistry,0.5,0.305
e1_immunohistochemistry_a1.0,0,1.0,100,200,0.18843460083007812,0.17659378051757812,0.9070269803209988,0.7990161345830719,0.8496024343668377,2.059110641479492,102.5,immunohistochemistry,1.0,0.3237
e1_cell_a0.15,0,1.0,100,200,0.0,0.25394439697265625,0.0,0.0,0.0,nan,124.4,cell,0.15,0.2879
e1_cell_a0.3,0,1.0,100,200,0.0,0.25394439697265625,0.0,0.0,0.0,nan,108.7,cell,0.3,0.2879
e1_cell_a0.5,0,1.0,100,200,0.0,0.25394439697265625,0.0,0.0,0.0,nan,105.0,cell,0.5,0.2879
e1_cell_a1.0,0,1.0,100,200,0.00164794921875,0.18338775634765625,0.009714190622789866,1.0,0.01924146597721514,91.18022918701172,106.8,cell,1.0,0.2967
